Column1,exercise_name,norm
147,Suitcase Carry,suitcase carry
1273,Single-Leg Stretch,single leg stretch
1608,Coffin Press Dumbbell,coffin press dumbbell
1333,Lat Pullover Machine,lat pullover machine
1350,Zercher Deadlift,zercher deadlift
1171,zercher deadlift,zercher deadlift
504,Banded Pull Apart,banded pull apart
794,Chest To Bar Pull-ups,chest to bar pull ups
261,Seated Overhead Extension (EZ Bar),seated overhead extension
1770,Ring Knee Tucks,ring knee tucks
748,Kettlebell Gorilla Row,kettlebell gorilla row
1016,Kneeling Single-Arm Diagonal Pulldown,kneeling single arm diagonal pulldown
1341,Two Phase Pull,two phase pull
902,Hip Flexor Raise,hip flexor raise
1187,Pull Apart (Cable),pull apart
1603,Weighted Roman Chair Setup,weighted roman chair setup
1048,Adductor Dynamic Plank,adductor dynamic plank
812,Seated Good morning,seated good morning
487,Landmine Kneeling Press,landmine kneeling press
878,Reverse Pecdec Fly,reverse pecdec fly
542,Hip Circles,hip circles
1294,Cable Shrugs,cable shrugs
1784,Bent Over Cable Pec Flye,bent over cable pec flye
1594,Straight-Arm Pushdown,straight arm pushdown
403,Viking Press,viking press
695,Deficit Romanian Deadlift (Barbell),deficit romanian deadlift
383,Close Grip Larsen Press,close grip larsen press
544,Pogo Progession,pogo progession
1010,Deadlift (Banded),deadlift
1045,Yoke,yoke
1715,RP Seated Hamstring Curls,rp seated hamstring curls
93,Skull Crusher (Barbell),skull crusher
1748,Shoulder Banded Rotations,shoulder banded rotations
1398,Weighted Sit Ups,weighted sit ups
1758,Deadlift,deadlift
1122,Neutral Grip Bench,neutral grip bench
596,Snatch (Kettlebell),snatch
1430,Flex - Single Leg Compound (Placeholder),flex single leg compound
536,Explosive Carioca,explosive carioca
1268,Triangle Pose,triangle pose
1806,45 Degree Incline DB Press,45 degree incline db press
1512,Machine Flat Press,machine flat press
1735,Broad Jumps,broad jumps
966,Dumbbell Swing,dumbbell swing
1163,Ring Push Up (Weighted),ring push up
1426,Strength - Quad Compound (Placeholder),strength quad compound
661,AD Press,ad press
863,Sled,sled
1570,Halting Deadlift,halting deadlift
1278,Heel-to-Toe Walk,heel to toe walk
303,"Lateral Pullover, Rope",lateral pullover rope
1396,Unilateral Low Cable Fly,unilateral low cable fly
1222,"Flat Dumbbell Press (12,10,8,6,4)",flat dumbbell press
599,Jefferson curl,jefferson curl
1220,Seated Abductor Machine (15-20),seated abductor machine
1565,Omnidirectional Sled Drag For Time,omnidirectional sled drag for time
538,Heel-to-Toe Walk (With Momentum),heel to toe walk
1563,Front Carry For Time,front carry for time
1540,Medicine Ball Pushups,medicine ball pushups
1677,Pushup,pushup
1159,Deficit Reverse Lunge,deficit reverse lunge
568,Treadmill,treadmill
537,Heel-to-Toe Walk (No Momentum),heel to toe walk
